"Links in Page","Links in Page","OpenTimings"
,"Robotic Process Automation - Why Now is the Time for RPA","Past hour"
,"Automation Anywhere® - Build your Digital Workforce","Past 24 hours"
,,"Past week"
,,"Past month"
,,"Past year"
"Links in Page","OpenTimings"
,"Past hour"
,"Past 24 hours"
,"Past week"
,"Past month"
,"Past year"
"Links in Page","OpenTimings"
"http://www.google.co.in/aclk?sa=l&ai=DChcSEwi5n9Pz65HVAhUf2L0KHS1eB8QYABAAGgJ0aA&sig=AOD64_3vHN6eVKNOUJG4s_Swoj8dVJtvXQ&ved=0ahUKEwjtmdDz65HVAhXMjJQKHROpDIcQ0QwIEQ&adurl=","Past hour"
,"Past 24 hours"
,"Past week"
,"Past month"
,"Past year"
